Designator,Mid X,Mid Y,Rotation,Layer
C1,132.715,-122.809,0.0,top
C11,133.35,-111.493,270.0,top
C13,127.762,-125.476,90.0,top
C14,138.96,-121.539,0.0,top
C15,126.238,-108.966,0.0,top
C16,139.192,-108.966,0.0,top
C2,145.542,-90.183,90.0,top
C3,148.59,-90.17,90.0,top
C4,151.638,-90.183,90.0,top
C5,148.59,-93.218,90.0,top
J1,132.588,-80.523,180.0,top
J2,147.066,-80.555,180.0,top
J3,139.954,-132.588,90.0,top
R1,126.238,-115.824,90.0,top
R2,140.192,-116.84,0.0,top
R3,140.192,-114.808,0.0,top
R4,124.206,-115.824,270.0,top
R5,143.764,-97.028,270.0,top
R6,147.066,-97.028,270.0,top
R7,150.368,-97.028,270.0,top
R8,153.67,-97.012,270.0,top
RV1,132.588,-97.978,90.0,top
U3,132.588,-117.283,0.0,top
